Grupo muscular (es),Ejercicio (es),Ejercicio (en),Descripción,Ruta imagen
Abdominales,Rana,Frogger,"Read our frogger guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Rana\Read our frogger guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Palanca delantera,Front Lever,"Read our front lever guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Palanca delantera\Read our front lever guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tabla frontal,Front Plank,"Read our front plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tabla frontal\Read our front plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tabla frontal con giro,Front Plank With Twist,"Read our front plank with twist guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tabla frontal con giro\Read our front plank with twist guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Planche completo,Full Planche,"Read our full planche guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Planche completo\Read our full planche guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Push-up de Planche completo,Full Planche Push-up,"Read our full planche push-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Push-up de Planche completo\Read our full planche push-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Marcha del puente de glúteos,Glute Bridge March,"Read our glute bridge march guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Marcha del puente de glúteos\Read our glute bridge march guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Marzo de glúteos,Glute March,"Read our glute march guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Marzo de glúteos\Read our glute march guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Barbilla de gorila,Gorilla Chin,"Read our gorilla chin guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Barbilla de gorila\Read our gorilla chin guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Grasshopper empuje hacia arriba,Grasshopper Push Up,"Read our grasshopper push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Grasshopper empuje hacia arriba\Read our grasshopper push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujiente de la ingle,Groin Crunch,"Read our groin crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujiente de la ingle\Read our groin crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Colgando las rodillas al codo,Hanging Knees to Elbows,"Read our hanging knees to elbows guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Colgando las rodillas al codo\Read our hanging knees to elbows guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Rose de cadera de la pierna colgante,Hanging Leg Hip Raise,"Read our hanging leg hip raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Rose de cadera de la pierna colgante\Read our hanging leg hip raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Pike colgante,Hanging Pike,"Read our hanging pike guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Pike colgante\Read our hanging pike guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Colgando colgar la cadera de la pierna recta,Hanging Straight Leg Hip Raise,"Read our hanging straight leg hip raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Colgando colgar la cadera de la pierna recta\Read our hanging straight leg hip raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Colgando los dedos de los pies al bar,Hanging Toes to Bar,"Read our hanging toes to bar guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Colgando los dedos de los pies al bar\Read our hanging toes to bar guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Puente de elevación de la cadera,Hip Raise Bridge,"Read our hip raise bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Puente de elevación de la cadera\Read our hip raise bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Hip Raise Crunch,Hip Raise Crunch,"Read our hip raise crunch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Hip Raise Crunch\Read our hip raise crunch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Hold Hold,Hollow Hold,"Read our hollow hold guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Hold Hold\Read our hollow hold guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Gusano,Inchworm,"Read our inchworm guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Gusano\Read our inchworm guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Tablón cruzado de hierro,Iron Cross Plank,"Read our iron cross plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tablón cruzado de hierro\Read our iron cross plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Navaja,Jackknife,"Read our jackknife guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Navaja\Read our jackknife guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Jackknife sentarse,Jackknife Sit Up,"Read our jackknife sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Jackknife sentarse\Read our jackknife sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Janda sentarse,Janda Sit Up,"Read our janda sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Janda sentarse\Read our janda sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Kettlebell Alterna Fila,Kettlebell Alternating Row,"Read our kettlebell alternating row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Kettlebell Alterna Fila\Read our kettlebell alternating row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Kettlebell One Arm Fila,Kettlebell One Arm Row,"Read our kettlebell one arm row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Kettlebell One Arm Fila\Read our kettlebell one arm row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Kettlebell sentarse,Kettlebell Sit Up,"Read our kettlebell sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Kettlebell sentarse\Read our kettlebell sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Kipping Muscle arriba,Kipping Muscle Up,"Read our kipping muscle up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Kipping Muscle arriba\Read our kipping muscle up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Toque de rodilla Crunch,Knee Touch Crunch,"Read our knee touch crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Toque de rodilla Crunch\Read our knee touch crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Lijado L,L-sit,"Read our l-sit guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Lijado L\Read our l-sit guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Lijar en el piso,L-sit on Floor,"Read our l-sit on floor guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Lijar en el piso\Read our l-sit on floor guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tirón de la pierna,Leg Pull,"Read our leg pull guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tirón de la pierna\Read our leg pull guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Levantamiento de la cadera de la pierna,Leg Raise Hip Lift,"Read our leg raise hip lift guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Levantamiento de la cadera de la pierna\Read our leg raise hip lift guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Palanca mentirosa,Lever Lying Crunch,"Read our lever lying crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Palanca mentirosa\Read our lever lying crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Palanca sentada crujiente,Lever Seated Crunch,"Read our lever seated crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Palanca sentada crujiente\Read our lever seated crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Arm Long Crunch,Long Arm Crunch,"Read our long arm crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Arm Long Crunch\Read our long arm crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Lática de la pierna mentirosa,Lying Leg Raise,"Read our lying leg raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Lática de la pierna mentirosa\Read our lying leg raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujido negativo,Negative Crunch,"Read our negative crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujido negativo\Read our negative crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Bandera de dragón negativo,Negative Dragon Flag,"Read our negative dragon flag guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Bandera de dragón negativo\Read our negative dragon flag guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento del libro abierto,Open Book Stretch,"Read our open book stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento del libro abierto\Read our open book stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Otis arriba,Otis Up,"Read our otis up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Otis arriba\Read our otis up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Inclinación pélvica,Pelvic Tilt,"Read our pelvic tilt guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Inclinación pélvica\Read our pelvic tilt guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Levantos del brazo,Plank Arm Lifts,"Read our plank arm lifts guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Levantos del brazo\Read our plank arm lifts guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Tablón de tablas en las manos,Plank on Hands,"Read our plank on hands guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tablón de tablas en las manos\Read our plank on hands guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Pose de yoga de arado,Plow Yoga Pose,"Read our plow yoga pose guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Pose de yoga de arado\Read our plow yoga pose guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Sentadillas para ir al baño,Potty Squat,"Read our potty squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Sentadillas para ir al baño\Read our potty squat guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Pseudo panche,Pseudo Planche Push-up,"Read our pseudo planche push-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Pseudo panche\Read our pseudo planche push-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujido inverso,Reverse Crunch,"Read our reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujido inverso\Read our reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Patada de crujido inverso,Reverse Crunch Kick,"Read our reverse crunch kick guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Patada de crujido inverso\Read our reverse crunch kick guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tablón reverso,Reverse Plank,"Read our reverse plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tablón reverso\Read our reverse plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Puente rodante,Rolling Bridge,"Read our rolling bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Puente rodante\Read our rolling bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Silla romana sentarse,Roman Chair Sit Up,"Read our roman chair sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Silla romana sentarse\Read our roman chair sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento del estómago giratorio,Rotating Stomach Stretch,"Read our rotating stomach stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento del estómago giratorio\Read our rotating stomach stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Patada de aleteo sentado,Seated Flutter Kick,"Read our seated flutter kick guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Patada de aleteo sentado\Read our seated flutter kick guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Lágrima de pierna sentada,Seated Leg Raise,"Read our seated leg raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Lágrima de pierna sentada\Read our seated leg raise guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Toque de hombro,Shoulder Tap,"Read our shoulder tap guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Toque de hombro\Read our shoulder tap guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Puente de una sola pierna,Single Leg Bridge,"Read our single leg bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Puente de una sola pierna\Read our single leg bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento de pierna recta individual,Single Straight Leg Stretch,"Read our single straight leg stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento de pierna recta individual\Read our single straight leg stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Incorporarse,Sit Up,"Read our sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Incorporarse\Read our sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Martillo,Sledge Hammer,"Read our sledge hammer guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Martillo\Read our sledge hammer guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Lanzador de hechizos,Spell Caster,"Read our spell caster guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Lanzador de hechizos\Read our spell caster guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
